,code,name,counts
0,005930,삼성전자,4840
1,000660,SK하이닉스,2236
2,035420,NAVER,168
3,035720,카카오,4713
4,207940,삼성바이오로직스,840
5,005935,삼성전자우,37
6,051910,LG화학,2607
7,006400,삼성SDI,833
8,005380,현대차,4751
9,068270,셀트리온,2408
10,000270,기아,3802
11,005490,POSCO,120
12,066570,LG전자,4586
13,028260,삼성물산,1181
14,012330,현대모비스,968
15,096770,SK이노베이션,1277
16,051900,LG생활건강,775
17,017670,SK텔레콤,1455
18,105560,KB금융,1441
19,055550,신한지주,307
20,034730,SK,4980
21,036570,엔씨소프트,792
22,091990,셀트리온헬스케어,227
23,011200,HMM,1461
24,361610,SK아이이테크놀로지,33
25,015760,한국전력,530
26,003550,LG,4980
27,032830,삼성생명,1092
28,018260,삼성에스디에스,7
29,009150,삼성전기,605
30,090430,아모레퍼시픽,1444
31,086790,하나금융지주,117
32,302440,SK바이오사이언스,300
33,251270,넷마블,927
34,003670,포스코케미칼,522
35,034020,두산중공업,864
36,352820,하이브,346
37,033780,KT&G,1316
38,010950,S-Oil,354
39,003490,대한항공,2662
40,000810,삼성화재,817
41,010130,고려아연,131
42,326030,SK바이오팜,786
43,011170,롯데케미칼,792
44,009540,한국조선해양,1309
45,030200,KT,4292
46,018880,한온시스템,284
47,009830,한화솔루션,1019
48,034220,LG디스플레이,967
49,316140,우리금융지주,191
